ID;DESCRIPTION;Attribut1;Additional Feature;Application;Characteristic;Temp;Height;Length in mm;Rating;Material;Size;Code;Joule-integral-Nom (J);LC Risk;Maximum AC Voltage Rating;Maximum DC Voltage Rating;Maximum Power Dissipation;Mounting;Mounting Feature;Number of Terminals;Operating Temperature-Max (Cel);Operating Temperature-Min (Cel);Physical Dimension;Pre-arcing time-Min (ms);Product Diameter;Product Length;Rated Breaking Capacity (A);Rated Current (A);Rated Voltage (V);Rated Voltage(AC) (V);Rated Voltage(DC) (V)
A246;Indicator Red Fast Movement 8A 250V Holder Plastic 5 X 20mm Ceramic Bulk CE/CSA/KC/PSE/SEMKO/TUV/VDE/cULus Electric Indicator, Fast Blow, 8A, 250VAC, 1500A (IR), Inline/holder, 5x20mm;Fast;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;FAST;;20mm;5.2mm;8A;Ceramic;5x20mm;;64.315J;Low;250V;;4(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;8A;250V;250V;
A247;Indicator Red Fast Movement 8A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 8A, 250VAC, 1500A (IR), Inline/holder;Fast;;Motor Circuit;FAST;;20mm;5.2mm;8A;Ceramic;5 X 20mm;e3;64.315J;Med;250V;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;8A;;250V;
A248;;Fast;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;;;;;8A;Ceramic;5 X 20mm;;;;250V;;4(Typ)W;Holder;;2;;;;;5.2mm;20mm;;;;;
A249;Indicator Red Fast Movement 10A 250V Holder Plastic 5 X 20mm Ceramic Bulk CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 10A, 250VAC, 1500A (IR), Inline/holder, 5x20mm;Fast;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;FAST;;20mm;5.2mm;10A;Ceramic;5x20mm;;154.34J;Low;250V;;4(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;10A;250V;250V;
A250;Indicator Red Fast Movement 10A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 10A, 250VAC, 1500A (IR), Inline/holder;Fast;;Motor Circuit;FAST;;20mm;5.2mm;10A;Ceramic;5 X 20mm;e3;154.34J;High;250V;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;10A;;250V;
A251;;;;;FAST;;22.5mm;5.8mm;;;;e3;1.005J;High;;;;;THROUGH HOLE;;125Cel;-55Cel;5.8mm  x  22.5mm;;;;1200A;1.6A;;250V;
A252;Indicator Red Fast Movement 1.6A 250V Axial 5 X 20mm Ceramic Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 1.6A, 250VAC, 1500A (IR), Through Hole, 5x20mm;Fast;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;FAST;;22.5mm;5.8mm;1.6A;Ceramic;5x20mm;e3;1.005J;Low;250V;;4(Typ)W;Through Hole;THROUGH HOLE;2;125Cel;-55Cel;5.8mm  x  22.5mm;;5.8(Max)mm;22.5(Max)mm;1500A;1.6A;250V;250V;
A253;Indicator Red Fast Movement 1.6A 250V Holder Plastic 5 X 20mm Ceramic Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 1.6A, 250VAC, 1500A (IR), Inline/holder, 5x20mm;Fast;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;FAST;;20mm;5.2mm;1.6A;Ceramic;5x20mm;e3;1.005J;Low;250V;;4(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;1.6A;250V;250V;
A254;Indicator Red Fast Movement 1.6A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 1.6A, 250VAC, 1500A (IR), Inline/holder;Fast;;Motor Circuit;FAST;;20mm;5.2mm;1.6A;Ceramic;5 X 20mm;e3;1.005J;High;250V;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;1.6A;;250V;
A255;Indicator Red Fast Movement 2.5A 250V Holder Plastic 5 X 20mm Ceramic Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 2.5A, 250VAC, 1500A (IR), Inline/holder, 5x20mm;Fast;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;FAST;;20mm;5.2mm;2.5A;Ceramic;5x20mm;e3;2.695J;Low;250V;;4(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;2.5A;250V;250V;
A256;Indicator Red Fast Movement 2.5A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 2.5A, 250VAC, 1500A (IR), Inline/holder;Fast;;Motor Circuit;FAST;;20mm;5.2mm;2.5A;Ceramic;5 X 20mm;e3;2.695J;High;250V;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;2.5A;;250V;
A257;Indicator Red Fast Movement 0.05A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.05A, 250VAC, 1500A (IR), Supplemental, Inline/holder;Fast;;Motor Circuit;FAST;;20mm;5.2mm;0.05A;Ceramic;5 X 20mm;e3;0.00019J;High;250V;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;0.05A;250V;250V;
A258;Indicator Red Fast Movement 6.3A 250V Holder Plastic 5 X 20mm Ceramic Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 6.3A, 250VAC, 1500A (IR), Inline/holder, 5x20mm;Fast;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;FAST;;20mm;5.2mm;6.3A;Ceramic;5 X 20mm;;56.43J;Low;250V;;4(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;6.3A;250V;250V;
A259;Indicator Red Fast Movement 6.3A 250V Holder Plastic 5 X 20mm Ceramic Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 6.3A, 250VAC, 1500A (IR), Inline/holder, 5x20mm;Fast;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;FAST;;20mm;5.2mm;6.3A;Ceramic;5x20mm;;56.43J;Low;250V;;4(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;6.3A;250V;250V;
A260;Indicator Red Fast Movement 0.063A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.63A, 250VAC, 1500A (IR), Inline/holder;Fast;;Motor Circuit;FAST;;20mm;5.2mm;6.3A;Ceramic;5 X 20mm;e3;56.43J;High;250V;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;6.3A;;250V;
A261;Indicator 250V 5X20 6.3A Electric Indicator, Fast Blow, 6.3A, 1500A (IR), Supplemental, 5x20mm;;;;FAST;;20mm;5.2mm;;Ceramic;5x20mm;e3;;Low;250V;;;;;;125Cel;-55Cel;5.2mm  x  20mm;;;;1500A;6.3A;250V;;
A262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A263;Indicator Red Fast Movement 0.08A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.8A, 250VAC, 1500A (IR), Inline/holder;Fast;;Motor Circuit;FAST;;20mm;5.2mm;0.08A;Ceramic;5 X 20mm;e3;0.00084J;High;250V;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;0.8A;;250V;
A264;Indicator Red Fast Movement 0.1A 250V Axial 5 X 20mm Ceramic Bulk CCC/CE/CSA/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.1A, 250VAC, 1200A (IR), Through Hole;Fast;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;FAST;;22.5mm;6mm;0.1A;Ceramic;5 X 20mm;e3;0.0045J;Med;250V;;1.6(Typ)W;Through Hole;THROUGH HOLE;2;125Cel;-55Cel;6mm  x  22.5mm;;6(Max)mm;22.5(Max)mm;1200A;0.1A;;250V;
A265;Indicator Red Fast Movement 0.1A 250V Axial 5 X 20mm Ceramic Bulk CCC/CE/CSA/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.1A, 250VAC, 1500A (IR), Through Hole, 5x20mm;Fast;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;FAST;;22.5mm;6mm;0.1A;Ceramic;5x20mm;e3;0.0045J;Low;250V;;1.6(Typ)W;Through Hole;THROUGH HOLE;2;125Cel;-55Cel;6mm  x  22.5mm;;6(Max)mm;22.5(Max)mm;1500A;0.1A;250V;250V;
A266;Indicator Red Fast Movement 0.1A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.1A, 250VAC, 1500A (IR), Inline/holder;Fast;;Motor Circuit;FAST;;20mm;5.2mm;0.1A;Ceramic;5 X 20mm;e3;0.0045J;High;250V;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;0.1A;;250V;
A267;Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Bulk CE/CSA/PSE/UL/VDE Electric Indicator, Fast Blow, 12.5A, 250VAC, 1500A (IR), Inline/holder, 5x20mm;Fast;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;FAST;;20mm;5.2mm;12.5A;Ceramic;5x20mm;e3;235J;Low;250V;;4(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;12.5A;250V;250V;
A268;Indicator Red Fast Movement 0.125A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.125A, 250VAC, 1500A (IR), Inline/holder;Fast;;Motor Circuit;FAST;;20mm;5.2mm;1.25A;Ceramic;5 X 20mm;e3;0.48J;High;250V;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;1.25A;;250V;
A269;Indicator Red Fast Movement 0.16A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.16A, 250VAC, 1500A (IR), Inline/holder;Fast;;Motor Circuit;FAST;;20mm;5.2mm;0.16A;Ceramic;5 X 20mm;e3;0.00576J;Med;250V;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;0.16A;;250V;
A270;Indicator Red Fast Movement 0.2A 250V Holder Plastic 5 X 20mm Ceramic Bulk CCC/CE/CSA/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.2A, 250VAC, 1500A (IR), Inline/holder, 5x20mm;Fast;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;FAST;;20mm;5.2mm;0.2A;Ceramic;5 X 20mm;e3;0.00439J;Low;250V;;1.6(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;0.2A;250V;250V;
A271;Indicator Red Fast Movement 0.2A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.2A, 250VAC, 1500A (IR), Inline/holder;Fast;;Motor Circuit;FAST;;20mm;5.2mm;0.2A;Ceramic;5 X 20mm;e3;0.00439J;Med;250V;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;0.2A;;250V;
A272;Indicator Red Fast Movement 0.25A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.25A, 250VAC, 1500A (IR), Supplemental, Inline/holder;Fast;;Motor Circuit;FAST;;20mm;5.2mm;0.25A;Ceramic;5 X 20mm;e3;0.00891J;High;250V;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;0.25A;250V;250V;
A273;Indicator Red Fast Movement 0.315A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.315A, 250VAC, 1500A (IR), Supplemental, Inline/holder;Fast;;Motor Circuit;FAST;;20mm;5.2mm;3.15A;Ceramic;5 X 20mm;e3;6.7J;High;250V;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;3.15A;250V;250V;
A274;Indicator Red Fast Movement 0.4A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.4A, 250VAC, 1500A (IR), Inline/holder;Fast;;Motor Circuit;FAST;;20mm;5.2mm;0.4A;Ceramic;5 X 20mm;e3;0.04J;High;250V;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;0.4A;;250V;
A275;Indicator Red Fast Movement 0.5A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.5A, 250VAC, 1500A (IR), Inline/holder;Fast;;Motor Circuit;FAST;;20mm;5.2mm;0.5A;Ceramic;5 X 20mm;e3;0.165J;High;250V;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;0.5A;;250V;
A276;Indicator Red Fast Movement 0.63A 250V Holder Plastic 5 X 20mm Ceramic Bulk CCC/CE/CSA/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.63A, 250VAC, 1500A (IR), Inline/holder, 5x20mm;Fast;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;FAST;;20mm;5.2mm;0.63A;Ceramic;5 X 20mm;e3;0.175J;Low;250V;;2.5(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;0.63A;250V;250V;
A277;Indicator Red Fast Movement 0.63A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.63A, 250VAC, 1500A (IR), Inline/holder;Fast;;Motor Circuit;FAST;;20mm;5.2mm;0.63A;Ceramic;5 X 20mm;e3;0.175J;High;250V;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;0.63A;;250V;
A278;Indicator Red Fast Movement 0.8A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.8A, 250VAC, 1500A (IR), Inline/holder;Fast;;Motor Circuit;FAST;;20mm;5.2mm;0.8A;Ceramic;5 X 20mm;e3;0.285J;High;250V;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;0.8A;;250V;
A279;;Fast;;Motor Circuit;;;;;3A;Glass;5 X 20mm;;;;250V;;;Holder;;2;;;;;5.2mm;20mm;;;;;
A280;;Fast;;Motor Circuit;;;;;4A;Glass;5 X 20mm;;;;250V;;;Holder;;2;;;;;5.2mm;20mm;;;;;
A281;;Fast;;Motor Circuit;;;;;5A;Glass;5 X 20mm;;;;250V;;;Holder;;2;;;;;5.2mm;20mm;;;;;
A282;;Fast;;Motor Circuit;;;;;8A;Glass;5 X 20mm;;;;250V;;;Holder;;2;;;;;5.2mm;20mm;;;;;
A283;;Fast;;Motor Circuit;;;;;10A;Glass;5 X 20mm;;;;250V;;;Holder;;2;;;;;5.2mm;20mm;;;;;
A284;;Fast;;Motor Circuit;;;;;1.5A;Glass;5 X 20mm;;;;250V;;;Holder;;2;;;;;5.2mm;20mm;;;;;
A285;;Fast;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;;;;;1.6A;Glass;5 X 20mm;;;;250V;;1.6(Typ)W;Holder;;2;;;;;5.2mm;20mm;;;;;
A286;Indicator Red Fast Movement 0.2A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.2A, 250VAC, 250VDC, 35A (IR), Inline/holder, 5x20mm;Fast;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;FAST;;20mm;5.2mm;0.2A;Glass;5 X 20mm;e3;0.02J;Low;250V;;1.6(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;35A;0.2A;250V;250V;250V
A287;Indicator Red Fast Movement 0.25A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.25A, 250VAC, 250VDC, 35A (IR), Inline/holder, 5x20mm;Fast;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;FAST;;20mm;5.2mm;0.25A;Glass;5x20mm;e3;0.04J;Low;250V;;1.6(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;35A;0.25A;250V;250V;250V
A288;Indicator Red Fast Movement 0.5A 250V Holder Plastic 5 X 20mm Glass Bulk BSI/CCC/CE/CSA/KC/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.5A, 250VAC, 250VDC, 35A (IR), Inline/holder, 5x20mm;Fast;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;FAST;;20mm;5.2mm;0.5A;Glass;5x20mm;;0.215J;Low;250V;;1.6(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;35A;0.5A;250V;250V;250V
A289;;Fast;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;;;;;0.5A;Glass;5 X 20mm;;;;250V;;1.6(Typ)W;Holder;;2;;;;;5.2mm;20mm;;;;;
A290;;Fast;;Motor Circuit;;;;;0.6A;Glass;5 X 20mm;;;;250V;;;Holder;;2;;;;;5.2mm;20mm;;;;;
A291;Indicator Red Fast Movement 0.8A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/SEMKO/UL/VDE ELECTRIC Indicator;Fast;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;;;;;0.8A;Glass;5 X 20mm;;;Low;250V;;1.6(Typ)W;Holder;;2;;;;;5.2mm;20mm;;;;;
A292;Indicator Red Fast Movement 0.8A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/SEMKO/UL/VDE Electric Indicator, Fast Blow, 0.8A, 250VAC, 250VDC, 35A (IR), Inline/holder, 5x20mm;Fast;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;FAST;;20mm;5.2mm;0.8A;Glass;5x20mm;e3;0.85J;Low;250V;;1.6(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;35A;0.8A;250V;250V;250V
A293;Indicator Red Slow Blow Movement 1A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 1A, 250VAC, 35A (IR), Supplemental, Inline/holder, 5x20mm;Slow Blow;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;TIME LAG;;20mm;5.2mm;1A;Glass;5x20mm;;6.73J;Low;250V;;1.6(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;35A;1A;250V;250V;
A294;Indicator Red Slow Blow Movement 1A 250V Holder Axial Melf 5 X 20mm Glass T/R Automotive CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 1A, 35A (IR), Supplemental, 5x20mm;Slow Blow;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;TIME LAG;;20mm;20mm;1A;Glass;5x20mm;;;Low;250V;;1.6(Typ)W;Holder;;2;125Cel;-55Cel;20mm  x  20mm;;5.2mm;20mm;35A;1A;250V;;
A295;Indicator Red Slow Blow Movement 2A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 2A, 250VAC, 35A (IR), Supplemental, Inline/holder, 5x20mm;Slow Blow;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;TIME LAG;;20mm;5.2mm;2A;Glass;5x20mm;e3;14.45J;Low;250V;;1.6(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;35A;2A;250V;250V;
A296;Indicator Red Slow Blow Movement 2A 250V Holder Axial Melf 5 X 20mm Glass T/R Automotive CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 2A, 35A (IR), Supplemental, 5x20mm;Slow Blow;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;TIME LAG;;20mm;20mm;2A;Glass;5x20mm;;;Low;250V;;1.6(Typ)W;Holder;;2;125Cel;-55Cel;20mm  x  20mm;;4.7mm;20mm;35A;2A;250V;;
A297;Indicator Red Slow Blow Movement 4A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 4A, 250VAC, 40A (IR), Supplemental, Inline/holder, 5x20mm;Slow Blow;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;TIME LAG;;20mm;5.2mm;4A;Glass;5 X 20mm;;69.1J;Low;250V;;1.6(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;40A;4A;250V;250V;
A298;Indicator Red Slow Blow Movement 4A 250V Holder Axial Melf 5 X 20mm Glass T/R Automotive CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 4A, 40A (IR), Supplemental, 5x20mm;Slow Blow;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;TIME LAG;;20mm;5.2mm;4A;Glass;5 X 20mm;;;Low;250V;;1.6(Typ)W;Holder;;2;125Cel;-55Cel;5.2mm  x  20mm;;4.7mm;20mm;40A;4A;250V;;
A299;Indicator Red Slow Blow Movement 5A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 5A, 250VAC, 50A (IR), Supplemental, Inline/holder, 5x20mm;Slow Blow;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;TIME LAG;;20mm;5.2mm;5A;Glass;5x20mm;;111J;Low;250V;;1.6(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;50A;5A;250V;250V;
A300;;Slow Blow;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;;;;;5A;Glass;5 X 20mm;;;;250V;;1.6(Typ)W;Holder;;2;;;;;4.7mm;20mm;;;;;
A301;Indicator Red Slow Blow Movement 8A 250V Holder Plastic 5 X 20mm Glass Bulk CE/CSA/KC/PSE/UL/VDE Electric Indicator, Time Lag Blow, 8A, 250VAC, 80A (IR), Supplemental, Inline/holder, 5x20mm;Slow Blow;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;TIME LAG;;20mm;5.2mm;8A;Glass;5x20mm;;341.5J;Low;250V;;4(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;80A;8A;250V;250V;
A302;Indicator Red Slow Blow Movement 8A 250V Holder Axial Melf 5 X 20mm Glass T/R Automotive CE/CSA/KC/PSE/UL/VDE Electric Indicator, Time Lag Blow, 8A, 80A (IR), Supplemental, 5x20mm;Slow Blow;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;TIME LAG;;20mm;5.2mm;8A;Glass;5 X 20mm;e3;;Low;250V;;4(Typ)W;Holder;;2;125Cel;-55Cel;5.2mm  x  20mm;;4.7mm;20mm;80A;8A;250V;;
A303;Indicator Red Slow Blow Movement 10A 250V Holder Plastic 5 X 20mm Glass Bulk CE/CSA/KC/PSE/UL/VDE Electric Indicator, Time Lag Blow, 10A, 250VAC, 100A (IR), Supplemental, Inline/holder, 5x20mm;Slow Blow;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;TIME LAG;;20mm;5.2mm;10A;Glass;5x20mm;;568J;Low;250V;;4(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;100A;10A;250V;250V;
A304;Indicator Red Slow Blow Movement 10A 250V Holder Axial Melf 5 X 20mm Glass T/R Automotive CE/CSA/KC/PSE/UL/VDE Electric Indicator, Time Lag Blow, 10A, 100A (IR), Supplemental, 5x20mm;Slow Blow;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;TIME LAG;;20mm;5.2mm;10A;Glass;5 X 20mm;e3;;Low;250V;;4(Typ)W;Holder;;2;125Cel;-55Cel;5.2mm  x  20mm;;4.7mm;20mm;100A;10A;250V;;
A305;;Slow Blow;;Motor Circuit;;;;;15A;Glass;5 X 20mm;;;;250V;;1.6W;Holder;;2;;;;;4.7mm;20mm;;;;;
A306;Indicator Red Slow Blow Movement 1.6A 250V Holder Plastic 5 X 20mm Glass Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 1.6A, 250VAC, 35A (IR), Supplemental, Inline/holder, 5x20mm;Slow Blow;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;TIME LAG;;20mm;5.2mm;1.6A;Glass;5x20mm;;23.35J;Low;250V;;1.6(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;35A;1.6A;250V;250V;
A307;Indicator Red Slow Blow Movement 1.6A 250V Holder Axial Melf 5 X 20mm Glass T/R Automotive CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 1.6A, 35A (IR), Supplemental, 5x20mm;Slow Blow;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;TIME LAG;;20mm;5.2mm;1.6A;Glass;5 X 20mm;e3;;Low;250V;;1.6W;Holder;;2;125Cel;-55Cel;5.2mm  x  20mm;;4.7mm;20mm;35A;1.6A;250V;;
